aba aba
abacı  aba-'dZ@
makbuzlardan  mak-buz-lar-'dan
maketlere  ma-ket-le-'re
makinecilerinin  ma-kI-ne-dZI-le-rI-'nIn
makyajcısı  mak-ZaZ-dZ@-'s@
malafanın  ma-la-fa-'n@n
maliyecimize  ma-lI-Ze-dZI-mI-'ze
malzemecesine  mal-ze-me-dZe-sI-'ne
malzemelerime  mal-ze-me-le-rI-'me
mameleğinin  ma-me-le-GI-'nIn
mamullerindeki  ma-mul-le-rIn-de-'kI
mamullüğü  ma-mul-lZ-'GZ
manavım  ma-na-'v@m
maneviyatıyla  ma-ne-vI-Za-t@Z-'la
manevraların  ma-nev-ra-la-'r@n
mangodaki  man-go-da-'kI
mankenini  man-ke-nI-'nI
mankeniniz  man-ke-nI-'nIz
manşetini  man-Se-tI-'nI
manyakların  man-Zak-la-'r@n
marangozuna  ma-ran-go-zu-'na
maratonumuza  ma-ra-to-nu-mu-'za
maratonuna  ma-ra-to-nu-'na
marazın  ma-ra-'z@n
marazide  ma-ra-zI-'de
markaymış  mar-kaZ-'m@S
martinlerden  mar-tIn-ler-'den
marttakine  mart-ta-kI-'ne
masajım  ma-sa-'Z@m
masalıymış  ma-sa-l@Z-'m@S
maskelemesinler  mas-ke-le-me-sIn-'ler
masklara  mask-la-'ra
masum  ma-'sum
masumiyetler  ma-su-mI-Zet-'ler
masumluk  ma-sum-'luk
maşasıysak  ma-Sa-s@Z-'sak
matbaamızın  mat-ba-a-m@-'z@n
mayalandırıyoruz  ma-Za-lan-d@-r@-Zo-'ruz
mayalanmadıysa  ma-Za-lan-ma-d@Z-'sa
mayalanmanın  ma-Za-lan-ma-'n@n
mayan  ma-'Zan
mayınlardır  ma-Z@n-lar-'d@r
mayınlattığını  ma-Z@n-lat-t@-G@-'n@
mayısının  ma-Z@-s@-'n@n
mazoşiste  ma-zo-SIs-'te
mebussun  me-bus-'sun
mecazının  me-dZa-z@-'n@n
meclisleriyiz  medZ-lIs-le-rI-'ZIz
meclislidir  medZ-lIs-lI-'dIr
mecmualara  medZ-mu-a-la-'ra
mecmuası  medZ-mu-a-'s@
meczupluğuma  medZ-zup-lu-Gu-'ma
medenisinin  me-de-nI-sI-'nIn
medikal  me-dI-'kal
meditasyonların  me-dI-tas-Zon-la-'r@n
meditasyonlarından  me-dI-tas-Zon-la-r@n-'dan
meftuniyet  mef-tu-nI-'Zet
megafonlar  me-ga-fon-'lar
megalomanim  me-ga-lo-ma-'nIm
mekancıkları  me-kan-dZ@k-la-'r@
mekanına  me-ka-n@-'na
mekaniğin  me-ka-nI-'GIn
mektepte  mek-tep-'te
melale  me-la-'le
melaneti  me-la-ne-'tI
melastan  me-las-'tan
meleğimle  me-le-GIm-'le
melodisi  me-lo-dI-'sI
memleketlimiz  mem-le-ket-lI-'mIz
memnuniyetiyle  mem-nu-nI-Ze-tIZ-'le
memnuniyetler  mem-nu-nI-Zet-'ler
memnuniyetsizlerini  mem-nu-nI-Zet-sIz-le-rI-'nI
menkulcülüğün  men-kul-dZZ-lZ-'GZn
menkulse  men-kul-'se
mensubiyetten  men-su-bI-Zet-'ten
mensubuyduk  men-su-buZ-'duk
menşura  men-Su-'ra
meraklandılar  me-rak-lan-d@-'lar
meraklarımdan  me-rak-la-r@m-'dan
meraklısıydım  me-rak-l@-s@Z-'d@m
meram  me-'ram
mercilerimizin  mer-dZI-le-rI-mI-'zIn
merdivenlerle  mer-dI-ven-ler-'le
merhametlerine  mer-ha-met-le-rI-'ne
merkezlerinize  mer-kez-le-rI-nI-'ze
mermisiz  mer-mI-'sIz
mesaisinin  me-sa-I-sI-'nIn
mesajlık  me-saZ-'l@k
mesajmış  me-saZ-'m@S
meselen  me-se-'len
meseseler  me-se-se-'ler
meskundur  mes-kun-'dur
mesleksizin  mes-lek-sI-'zIn
mesuliyetsizlerin  me-su-lI-Zet-sIz-le-'rIn
meşguliyetlerimden  meS-gu-lI-Zet-le-rIm-'den
meşhuruz  meS-hu-'ruz
meşkine  meS-kI-'ne
meşrepler  meS-rep-'ler
meşrubat  meS-ru-'bat
meşrutiyetçilerin  meS-ru-tI-Zet-tSI-le-'rIn
metalaştırılması  me-ta-laS-t@-r@l-ma-'s@
metalaştırmanın  me-ta-laS-t@r-ma-'n@n
metasal  me-ta-'sal
methal  met-'hal
metredeyken  met-re-deZ-'ken
metronomu  met-ro-no-'mu
metropolüne  met-ro-po-lZ-'ne
mevduatımızı  mev-du-a-t@-m@-'z@
mevduatlara  mev-du-at-la-'ra
mevkideyken  mev-kI-deZ-'ken
mevsimlerden  mev-sIm-ler-'den
mevziileri  mev-zI-I-le-'rI
mevzuatlarındaki  mev-zu-at-la-r@n-da-'kI
meydandaymış  meZ-dan-daZ-'m@S
meydanındaydı  meZ-da-n@n-daZ-'d@
meydanlardasın  meZ-dan-lar-da-'s@n
mezarım  me-za-'r@m
mezarlıklarının  me-zar-l@k-la-r@-'n@n
mezatçısı  me-zat-tS@-'s@
mezbahanızda  mez-ba-ha-n@z-'da
mezhebimize  mez-he-bI-mI-'ze
mezosferden  me-zos-fer-'den
mezunum  me-zu-'num
mıknatısıyla  m@k-na-t@-s@Z-'la
mıncıklaşan  m@n-dZ@k-la-'San
mırıldanmaların  m@-r@l-dan-ma-la-'r@n
mısraların  m@s-ra-la-'r@n
mısram  m@s-'ram
mızmızlanmasına  m@z-m@z-lan-ma-s@-'na
midemin  mI-de-'mIn
midyesinin  mId-Ze-sI-'nIn
mihrakında  mIh-ra-k@n-'da
miladımsı  mI-la-d@m-'s@
milisliğini  mI-lIs-lI-GI-'nI
millerle  mIl-ler-'le
milletleşmeyi  mIl-let-leS-me-'ZI
milletsizleridir  mIl-let-sIz-le-rI-'dIr
millileşen  mIl-lI-le-'Sen
milliyetçileşmenin  mIl-lI-Zet-tSI-leS-me-'nIn
milliyetçiliğinizi  mIl-lI-Zet-tSI-lI-GI-nI-'zI
milliyetperverlerden  mIl-lI-Zet-per-ver-ler-'den
milyoncuk  mIl-Zon-'dZuk
milyonumu  mIl-Zo-nu-'mu
mimarlığınızın  mI-mar-l@-G@-n@-'z@n
mimarlıkta  mI-mar-l@k-'ta
minareli  mI-na-re-'lI
minelerin  mI-ne-le-'rIn
minnettardı  mIn-net-tar-'d@
minör  mI-'n@'r
minyatürleştirilmiş  mIn-Za-tZr-leS-tI-rIl-'mIS
mirasındaki  mI-ra-s@n-da-'kI
misafirimle  mI-sa-fI-rIm-'le
misafirleriniz  mI-sa-fIr-le-rI-'nIz
misafirliktir  mI-sa-fIr-lIk-'tIr
misillemeye  mI-sIl-le-me-'Ze
misisten  mI-sIs-'ten
mitçisi  mIt-tSI-'sI
mitosunuz  mI-to-su-'nuz
miyavladıklarını  mI-Zav-la-d@k-la-r@-'n@
mizahımı  mI-za-h@-'m@
mobiliz  mo-bI-'lIz
modellemesine  mo-del-le-me-sI-'ne
modelleri  mo-del-le-'rI
modernleşmemize  mo-dern-leS-me-mI-'ze
modernleştiren  mo-dern-leS-tI-'ren
modernliği  mo-dern-lI-'GI
modülasyonlarda  mo-dZ-las-Zon-lar-'da
molalarıyla  mo-la-la-r@Z-'la
montajda  mon-taZ-'da
montumun  mon-tu-'mun
morallerimizi  mo-ral-le-rI-mI-'zI
morarmadığını  mo-rar-ma-d@-G@-'n@
morfolojisiyle  mor-fo-lo-ZI-sIZ-'le
motorununsa  mo-to-ru-nun-'sa
motosikletine  mo-to-sIk-le-tI-'ne
motosikletti  mo-to-sIk-let-'tI
muallaktadır  mu-al-lak-ta-'d@r
muarızına  mu-a-r@-z@-'na
muavinliğinin  mu-a-vIn-lI-GI-'nIn
muayenehanede  mu-a-Ze-ne-ha-ne-'de
mucizemizi  mu-dZI-ze-mI-'zI
muğlaklaşacağı  muG-lak-la-Sa-dZa-'G@
muhabirimi  mu-ha-bI-rI-'mI
muhacim  mu-ha-'dZIm
muhafazakarlaşmanıza  mu-ha-fa-za-kar-laS-ma-n@-'za
muhafazakarlaştırılmasına  mu-ha-fa-za-kar-laS-t@-r@l-ma-s@-'na
muhafızlığında  mu-ha-f@z-l@-G@n-'da
muhakemelerindeki  mu-ha-ke-me-le-rIn-de-'kI
muhalefetinize  mu-ha-le-fe-tI-nI-'ze
muhalifliğiyle  mu-ha-lIf-lI-GIZ-'le
muhallebim  mu-hal-le-'bIm
muharebesidir  mu-ha-re-be-sI-'dIr
muharebesinde  mu-ha-re-be-sIn-'de
muhasebecisine  mu-ha-se-be-dZI-sI-'ne
muhasebeleştirilmediği  mu-ha-se-be-leS-tI-rIl-me-dI-'GI
muhatta  mu-hat-'ta
muhbirleştirilmişti  muh-bIr-leS-tI-rIl-mIS-'tI
muhtaçken  muh-tatS-'ken
muhtarıyla  muh-ta-r@Z-'la
muhtıralarına  muh-t@-ra-la-r@-'na
muinin  mu-I-'nIn
mukabeleyi  mu-ka-be-le-'ZI
mukadderatlar  mu-kad-de-rat-'lar
mukaddermiş  mu-kad-der-'mIS
mukaddesleri  mu-kad-des-le-'rI
mumcunun  mum-dZu-'nun
mumyasına  mum-Za-s@-'na
murdarlaşmış  mur-dar-laS-'m@S
musikimizdir  mu-sI-kI-mIz-'dIr
musluklarımız  mus-luk-la-r@-'m@z
musonların  mu-son-la-'r@n
mutluluklarına  mut-lu-luk-la-r@-'na
mutluysak  mut-luZ-'sak
mutsuzluğumuzun  mut-suz-lu-Gu-mu-'zun
mübadillerle  mZ-ba-dIl-ler-'le
mücverimizden  mZdZ-ve-rI-mIz-'den
müdürleridir  mZ-dZr-le-rI-'dIr
müdürün  mZ-dZ-'rZn
müebbetliklere  mZ-eb-bet-lIk-le-'re
müellifini  mZ-el-lI-fI-'nI
müennesi  mZ-en-ne-'sI
müesseselerimizin  mZ-es-se-se-le-rI-mI-'zIn
müesseseleştirilmesi  mZ-es-se-se-leS-tI-rIl-me-'sI
müeyyideyle  mZ-eZ-ZI-deZ-'le
müfredata  mZf-re-da-'ta
mühendisliğinden  mZ-hen-dIs-lI-GIn-'den
mühendisliğindeydim  mZ-hen-dIs-lI-GIn-deZ-'dIm
mühründekine  mZh-rZn-de-kI-'ne
mührüyle  mZh-rZZ-'le
mühürlemeleri  mZ-hZr-le-me-le-'rI
mühürlemeyiz  mZ-hZr-le-me-'ZIz
mükerrermiş  mZ-ker-rer-'mIS
mülahazalarım  mZ-la-ha-za-la-'r@m
mülayimdi  mZ-la-ZIm-'dI
mülklerdir  mZlk-ler-'dIr
mülktü  mZlk-'tZ
münafıkları  mZ-na-f@k-la-'r@
münakaşadan  mZ-na-ka-Sa-'dan
münasebetinin  mZ-na-se-be-tI-'nIn
münasebetsizliğini  mZ-na-se-bet-sIz-lI-GI-'nI
münferitle  mZn-fe-rIt-'le
mürettebatımızın  mZ-ret-te-ba-t@-m@-'z@n
müsaadelidir  mZ-sa-a-de-lI-'dIr
müsaadesinin  mZ-sa-a-de-sI-'nIn
müsaadeyi  mZ-sa-a-de-'ZI
müsabakaya  mZ-sa-ba-ka-'Za
müsaitseler  mZ-sa-It-se-'ler
müsavidir  mZ-sa-vI-'dIr
müstebitlerin  mZs-te-bIt-le-'rIn
müsteşarlığın  mZs-te-Sar-l@-'G@n
müşerrefe  mZ-Ser-re-'fe
müşirin  mZ-SI-'rIn
müşkülümün  mZS-kZ-lZ-'mZn
müştekileri  mZS-te-kI-le-'rI
müştereklerini  mZS-te-rek-le-rI-'nI
müştereklik  mZS-te-rek-'lIk
müşteriysem  mZS-te-rIZ-'sem
mütalaamı  mZ-ta-la-a-'m@
müteahhitsin  mZ-te-ah-hIt-'sIn
mütecasir  mZ-te-dZa-'sIr
mütemayildir  mZ-te-ma-ZIl-'dIr
müteşekkirliğinden  mZ-te-Sek-kIr-lI-GIn-'den
mütevazılığımı  mZ-te-va-z@-l@-G@-'m@
müttefiklerdir  mZt-te-fIk-ler-'dIr
müttefiklikle  mZt-te-fIk-lIk-'le
müzakerecileri  mZ-za-ke-re-dZI-le-'rI
müzakerecisine  mZ-za-ke-re-dZI-sI-'ne
müzayedelere  mZ-za-Ze-de-le-'re
naaşım  na-a-'S@m
naaşından  na-a-S@n-'dan
nabızlarda  na-b@z-lar-'da
nafilenin  na-fI-le-'nIn
nah  nah
nakaratıyla  na-ka-ra-t@Z-'la
nakavtıyla  na-kav-t@Z-'la
nakışlının  na-k@S-l@-'n@n
nakledildiğini  nak-le-dIl-dI-GI-'nI
nakledilebilecek  nak-le-dI-le-bI-le-'dZek
nakledilemez  nak-le-dI-le-'mez
naklettiren  nak-let-tI-'ren
nakliyecilerimizin  nak-lI-Ze-dZI-le-rI-mI-'zIn
nakşetmek  nak-Set-'mek
nakşetmeliyim  nak-Set-me-lI-'ZIm
nakşını  nak-S@-'n@
nallardan  nal-lar-'dan
nama  na-'ma
namahremimdir  na-mah-re-mIm-'dIr
namusumuzdu  na-mu-su-muz-'du
namütenahinin  na-mZ-te-na-hI-'nIn
namzetlerimize  nam-zet-le-rI-mI-'ze
narımsın  na-r@m-'s@n
narlıya  nar-l@-'Za
narsisizmden  nar-sI-sIzm-'den
nasibe  na-sI-'be
nasihatçiler  na-sI-hat-tSI-'ler
nasyonalistlerden  nas-Zo-na-lIst-ler-'den
naziğin  na-zI-'GIn
nazirelerle  na-zI-re-ler-'le
nebat  ne-'bat
nedimsiz  ne-dIm-'sIz
nefasetti  ne-fa-set-'tI
nefesidir  ne-fe-sI-'dIr
negatifli  ne-ga-tIf-'lI
nehirle  ne-hIr-'le
nehrine  neh-rI-'ne
nekesliğinden  ne-kes-lI-GIn-'den
nemalananları  ne-ma-la-nan-la-'r@
nemalanılan  ne-ma-la-n@-'lan
nemalanma  ne-ma-lan-'ma
nemalanmasak  ne-ma-lan-ma-'sak
nemize  ne-mI-'ze
neptünyum  nep-tZn-'Zum
nesneci  nes-ne-'dZI
nesnelerinin  nes-ne-le-rI-'nIn
nesneleştirildiğini  nes-ne-leS-tI-rIl-dI-GI-'nI
neşelilerdi  ne-Se-lI-ler-'dI
neşenizle  ne-Se-nIz-'le
neşidelerin  ne-SI-de-le-'rIn
neticelenebileceğiyle  ne-tI-dZe-le-ne-bI-le-dZe-GIZ-'le
neticeleniyor  ne-tI-dZe-le-nI-'Zor
netleşmişken  net-leS-mIS-'ken
netleştirilmezse  net-leS-tI-rIl-mez-'se
netleştiriyorsunuz  net-leS-tI-rI-Zor-su-'nuz
netleştirmeyeceğini  net-leS-tIr-me-Ze-dZe-GI-'nI
nevrozlardan  nev-roz-lar-'dan
nevrozlarında  nev-roz-la-r@n-'da
nevrozunu  nev-ro-zu-'nu
nevzata  nev-za-'ta
nezaketendir  ne-za-ke-ten-'dIr
nezaretimden  ne-za-re-tIm-'den
nihilizminden  nI-hI-lIz-mIn-'den
nikabını  nI-ka-b@-'n@
ninelerimizden  nI-ne-le-rI-mIz-'den
ninen  nI-'nen
nispetindedir  nIs-pe-tIn-de-'dIr
nisyandan  nIs-Zan-'dan
nişanlamış  nI-San-la-'m@S
nişanlanmasına  nI-San-lan-ma-s@-'na
nişanlılarının  nI-San-l@-la-r@-'n@n
nişanlısını  nI-San-l@-s@-'n@
nişastaydı  nI-Sas-taZ-'d@
nişindeki  nI-SIn-de-'kI
nişle  nIS-'le
nitelemeler  nI-te-le-me-'ler
nitelememi  nI-te-le-me-'mI
nitelemesinin  nI-te-le-me-sI-'nIn
nitelendirdim  nI-te-len-dIr-'dIm
nitelendirecektir  nI-te-len-dI-re-dZek-'tIr
nitelerdi  nI-te-ler-'dI
niteliklerinizin  nI-te-lIk-le-rI-nI-'zIn
nitelikteyseler  nI-te-lIk-teZ-se-'ler
niyetin  nI-Ze-'tIn
niyetlendiklerimiz  nI-Zet-len-dIk-le-rI-'mIz
niyetleniyor  nI-Zet-le-nI-'Zor
niyetlerinize  nI-Zet-le-rI-nI-'ze
noktalanabiliyor  nok-ta-la-na-bI-lI-'Zor
noktalarıdır  nok-ta-la-r@-'d@r
noktalarıysa  nok-ta-la-r@Z-'sa
noktalayabileceğinin  nok-ta-la-Za-bI-le-dZe-GI-'nIn
normalleştirene  nor-mal-leS-tI-re-'ne
normalleştirildikten  nor-mal-leS-tI-rIl-dIk-'ten
normalleştirmeden  nor-mal-leS-tIr-me-'den
normalsem  nor-mal-'sem
normlarıdır  norm-la-r@-'d@r
nosyonlarının  nos-Zon-la-r@-'n@n
notalı  no-ta-'l@
nörolojinin  n@'-ro-lo-ZI-'nIn
numaracılara  nu-ma-ra-dZ@-la-'ra
numarada  nu-ma-ra-'da
numaralarınızı  nu-ma-ra-la-r@-n@-'z@
nurayım  nu-ra-'Z@m
nurlandı  nur-lan-'d@
nutukların  nu-tuk-la-'r@n
nüktelere  nZk-te-le-'re
obeziteye  obe-zI-te-'Ze
oburum  obu-'rum
odacılara  oda-dZ@-la-'ra
odaklanmada  o-dak-lan-ma-'da
odaklanmanızı  o-dak-lan-ma-n@-'z@
odaklanmışsa  o-dak-lan-m@S-'sa
odaklayabilirler  o-dak-la-Za-bI-lIr-'ler
odaklılığının  o-dak-l@-l@-G@-'n@n
odalar  oda-'lar
odunlu  o-dun-'lu
ofisimden  ofI-sIm-'den
ofisine  ofI-sI-'ne
oğlanlıktan  oG-lan-l@k-'tan
oğluyla  oG-luZ-'la
okaliptüsten  oka-lIp-tZs-'ten
oksitlenmiş  ok-sIt-len-'mIS
okşadığım  ok-Sa-d@-'G@m
okuduğunla  oku-du-Gun-'la
okuduysanız  oku-duZ-sa-'n@z
okuluymuş  oku-luZ-'muS
okumadı  oku-ma-'d@
okumamıştır  oku-ma-m@S-'t@r
okumuşlarla  oku-muS-lar-'la
okumuştum  oku-muS-'tum
okunabildiği  oku-na-bIl-dI-'GI
okunabiliniyor  oku-na-bI-lI-nI-'Zor
okunmayıp  o-kun-ma-'Z@p
okunuşlarına  oku-nuS-la-r@-'na
okurlardansanız  o-kur-lar-dan-sa-'n@z
okuryazarlaşmanın  o-kur-Za-zar-laS-ma-'n@n
okutamadığını  oku-ta-ma-d@-G@-'n@
okutamayacağız  oku-ta-ma-Za-dZa-'G@z
okutsanız  o-kut-sa-'n@z
okuttuğumuz  o-kut-tu-Gu-'muz
okutulanlarla  oku-tu-lan-lar-'la
okutulmadı  oku-tul-ma-'d@
okutulmasının  oku-tul-ma-s@-'n@n
okutulmayacaktır  oku-tul-ma-Za-dZak-'t@r
okuyabildiklerimden  oku-Za-bIl-dIk-le-rIm-'den
okuyacaklardı  oku-Za-dZak-lar-'d@
okuyamamışız  oku-Za-ma-m@-'S@z
okuyasıya  oku-Za-s@-'Za
okuyuculardır  oku-Zu-dZu-lar-'d@r
olabilmelidirler  ola-bIl-me-lI-dIr-'ler
olacaklardan  ola-dZak-lar-'dan
olacakları  ola-dZak-la-'r@
olağanlaşma  ola-Gan-laS-'ma
olağanüstüler  ola-Ga-nZs-tZ-'ler
olamadıysa  ola-ma-d@Z-'sa
olamayacağında  ola-ma-Za-dZa-G@n-'da
olasılığıymış  ola-s@-l@-G@Z-'m@S
olasılıklarımız  ola-s@-l@k-la-r@-'m@z
olaylarımızla  o-laZ-la-r@-m@z-'la
olaysızdı  o-laZ-s@z-'d@
olduğunundan  ol-du-Gu-nun-'dan
olgulaşma  ol-gu-laS-'ma
olgunlaşmışlar  ol-gun-laS-m@S-'lar
olmadığınını  ol-ma-d@-G@-n@-'n@
olmadıklarımı  ol-ma-d@k-la-r@-'m@
olmakken  ol-mak-'ken
olmamışı  ol-ma-m@-'S@
olmamışlığına  ol-ma-m@S-l@-G@-'na
olmamıza  ol-ma-m@-'za
olmanızdan  ol-ma-n@z-'dan
olmayacakta  ol-ma-Za-dZak-'ta
olmayacaktınız  ol-ma-Za-dZak-t@-'n@z
olmayanlarıyla  ol-ma-Zan-la-r@Z-'la
olmayışlarıydı  ol-ma-Z@S-la-r@Z-'d@
olmazlardansın  ol-maz-lar-dan-'s@n
olsaymışız  ol-saZ-m@-'S@z
oltalardan  ol-ta-lar-'dan
olumluyuz  o-lum-lu-'Zuz
olunabilmesinin  olu-na-bIl-me-sI-'nIn
olunabilse  olu-na-bIl-'se
olunmalı  o-lun-ma-'l@
olunmazmış  o-lun-maz-'m@S
oluşmamasına  o-luS-ma-ma-s@-'na
oluşmasına  o-luS-ma-s@-'na
oluşmayınca  o-luS-ma-Z@n-'dZa
oluşmuştu  o-luS-muS-'tu
oluşturabiliyor  o-luS-tu-ra-bI-lI-'Zor
oluşturamayacağından  o-luS-tu-ra-ma-Za-dZa-G@n-'dan
oluşturmamasını  o-luS-tur-ma-ma-s@-'n@
oluşturmazlardı  o-luS-tur-maz-lar-'d@
oluşturulacağım  o-luS-tu-ru-la-dZa-'G@m
omaya  oma-'Za
omletini  om-le-tI-'nI
omurlarla  o-mur-lar-'la
omuzlarımdan  o-muz-la-r@m-'dan
omuzlarından  o-muz-la-r@n-'dan
omuzlayın  o-muz-la-'Z@n
onaramaması  ona-ra-ma-ma-'s@
onaramayacaksa  ona-ra-ma-Za-dZak-'sa
onarılabiliyor  ona-r@-la-bI-lI-'Zor
onarılamadığı  ona-r@-la-ma-d@-'G@
onarılamayabilir  ona-r@-la-ma-Za-bI-'lIr
onarlardan  o-nar-lar-'dan
onaylamadığımızı  o-naZ-la-ma-d@-G@-m@-'z@
onaylamakta  o-naZ-la-mak-'ta
onaylanabildi  o-naZ-la-na-bIl-'dI
onaylanabileceğinin  o-naZ-la-na-bI-le-dZe-GI-'nIn
onaylandığının  o-naZ-lan-d@-G@-'n@n
onaylarsak  o-naZ-lar-'sak
onaylatacağın  o-naZ-la-ta-dZa-'G@n
onaylıydı  o-naZ-l@Z-'d@
ongunun  on-gu-'nun
onlarcadır  on-lar-dZa-'d@r
onlardandı  on-lar-dan-'d@ functional
onurlandır  o-nur-lan-'d@r functional
onurluluğun  o-nur-lu-lu-'Gun
operasyondu  ope-ras-Zon-'du
operatörlerdeki  ope-ra-t@'r-ler-de-'kI
operatörünüzü  ope-ra-t@'-rZ-nZ-'zZ
operetlerinin  ope-ret-le-rI-'nIn
oportünizmde  o-por-tZ-nIzm-'de
oraklarla  o-rak-lar-'la
oranınız  ora-n@-'n@z
orantısızlıktan  o-ran-t@-s@z-l@k-'tan
organlarındandır  or-gan-la-r@n-dan-'d@r
orijinaldekinin  orI-ZI-nal-de-kI-'nIn
orijinalliğini  orI-ZI-nal-lI-GI-'nI
ormandaki  or-man-da-'kI
ortaklarsa  or-tak-lar-'sa
ortaksınız  or-tak-s@-'n@z
oruçlarındaki  o-rutS-la-r@n-da-'kI
oruçlarla  o-rutS-lar-'la
otelim  ote-'lIm
otellerimize  o-tel-le-rI-mI-'ze
otellerse  o-tel-ler-'se
otlaması  ot-la-ma-'s@
otobanının  oto-ba-n@-'n@n
otoburun  oto-bu-'run
otogarda  oto-gar-'da
otomobilimizde  oto-mo-bI-lI-mIz-'de
otonomculuğun  oto-nom-dZu-lu-'Gun
otonomiden  oto-no-mI-'den
otoritelerle  oto-rI-te-ler-'le
otosuna  oto-su-'na
oturabilecektik  otu-ra-bI-le-dZek-'tIk
oturabilirim  otu-ra-bI-lI-'rIm
oturabiliyoruz  otu-ra-bI-lI-Zo-'ruz
oturaklar  otu-rak-'lar
oturamayacakları  otu-ra-ma-Za-dZak-la-'r@
oturmaktaymış  o-tur-mak-taZ-'m@S
oturmasaydınız  o-tur-ma-saZ-d@-'n@z
oturmayacak  o-tur-ma-Za-'dZak
oturmazdan  o-tur-maz-'dan
oturtmazsan  o-turt-maz-'san
oturtulacağını  o-tur-tu-la-dZa-G@-'n@
oturtulmadıkça  o-tur-tul-ma-d@k-'tSa
oturtuluyor  o-tur-tu-lu-'Zor
oturumdur  otu-rum-'dur
oturuyorsa  otu-ru-Zor-'sa
ovuştur  o-vuS-'tur
oyasız  oZa-'s@z
oylamasıydı  oZ-la-ma-s@Z-'d@
oylanabilir  oZ-la-na-bI-'lIr
oylandığını  oZ-lan-d@-G@-'n@
oylanmaları  oZ-lan-ma-la-'r@
oylatılacak  oZ-la-t@-la-'dZak
oylatıyor  oZ-la-t@-'Zor
oylayamayız  oZ-la-Za-ma-'Z@z
oymuştur  oZ-muS-'tur
oynadıklarınını  oZ-na-d@k-la-r@-n@-'n@
oynamanız  oZ-na-ma-'n@z
oynamasaydın  oZ-na-ma-saZ-'d@n
oynamazsak  oZ-na-maz-'sak
oynanacağın  oZ-na-na-dZa-'G@n
oynanmamışsa  oZ-nan-ma-m@S-'sa
oynatabildiğim  oZ-na-ta-bIl-dI-'GIm
oynatabilmenin  oZ-na-ta-bIl-me-'nIn
oynatılmadığına  oZ-na-t@l-ma-d@-G@-'na
oynatılmasıyla  oZ-na-t@l-ma-s@Z-'la
oynatmamazlık  oZ-nat-ma-maz-'l@k
oynatmayacağını  oZ-nat-ma-Za-dZa-G@-'n@
oynatmıyordu  oZ-nat-m@-Zor-'du
oynatsalar  oZ-nat-sa-'lar
oynayabilsek  oZ-na-Za-bIl-'sek
oynayabilsinler  oZ-na-Za-bIl-sIn-'ler
oynayamayarak  oZ-na-Za-ma-Za-'rak
oyulacak  oZu-la-'dZak
oyunbazlığına  o-Zun-baz-l@-G@-'na
oyuncularıysa  o-Zun-dZu-la-r@Z-'sa
oyunculuğunuza  o-Zun-dZu-lu-Gu-nu-'za
oyuncuysa  o-Zun-dZuZ-'sa
oyundu  o-Zun-'du
oyunlarımızla  o-Zun-la-r@-m@z-'la
oyunlarında  o-Zun-la-r@n-'da
oyunlaştırır  o-Zun-laS-t@-'r@r
oyunlaştırmak  o-Zun-laS-t@r-'mak
oyunu  oZu-'nu
öbeklerden  @'-bek-ler-'den
ödemeliydin  @'de-me-lIZ-'dIn
ödememiz  @'de-me-'mIz
ödenecekti  @'de-ne-dZek-'tI
ödenmeli  @'-den-me-'lI
ödersen  @'-der-'sen
ödetecektir  @'de-te-dZek-'tIr
ödeyemediğin  @'de-Ze-me-dI-'GIn
ödeyemeyebileceklerini  @'de-Ze-me-Ze-bI-le-dZek-le-rI-'nI
ödeyemiyorsunuz  @'de-Ze-mI-Zor-su-'nuz
ödüllendireceğiniz  @'-dZl-len-dI-re-dZe-GI-'nIz
ödüllendirecektir  @'-dZl-len-dI-re-dZek-'tIr
ödüllendirmiştik  @'-dZl-len-dIr-mIS-'tIk
ödüllerine  @'-dZl-le-rI-'ne
öfkelendirecek  @'f-ke-len-dI-re-'dZek
öfkelenmesin  @'f-ke-len-me-'sIn
ögeyle  @'-geZ-'le
öğrencileriyse  @'G-ren-dZI-le-rIZ-'se
öğrendiyseniz  @'G-ren-dIZ-se-'nIz
öğrenebilecek  @'G-re-ne-bI-le-'dZek
öğreneceğiniz  @'G-re-ne-dZe-GI-'nIz
öğrenememelerinden  @'G-re-ne-me-me-le-rIn-'den
öğrenilmişti  @'G-re-nIl-mIS-'tI
öğretileriyle  @'G-re-tI-le-rIZ-'le
öğretilmezken  @'G-re-tIl-mez-'ken
öğretmeninki  @'G-ret-me-nIn-'kI
öğretmenleriyle  @'G-ret-men-le-rIZ-'le
öğretmenlikler  @'G-ret-men-lIk-'ler
öğretmenliktir  @'G-ret-men-lIk-'tIr
öğretmeyeceğiz  @'G-ret-me-Ze-dZe-'GIz
öğrettiklerinizle  @'G-ret-tIk-le-rI-nIz-'le
öğünle  @'-GZn-'le
öğünlerimizi  @'-GZn-le-rI-mI-'zI
öğününüzdür  @'GZ-nZ-nZz-'dZr
öğütememişken  @'GZ-te-me-mIS-'ken
öğütledikleri  @'-GZt-le-dIk-le-'rI
öğütülmüşü  @'GZ-tZl-mZ-'SZ
öğütülür  @'GZ-tZ-'lZr
öksürmekle  @'k-sZr-mek-'le
ölçmesiydi  @'ltS-me-sIZ-'dI
ölçtürdükten  @'ltS-tZr-dZk-'ten
ölçülemeyen  @'l-tSZ-le-me-'Zen
ölçümden  @'l-tSZm-'den
