à 'a functional
ç' 's 
hippophagique i-p0-fa-'Zik 
hippopotame i-p0-p0-'tam 
hippopotames i-p0-p0-'tam 
hippy i-'pi 
hiérarchie je-Ra-'RSi 
hiérarchies je-Ra-'RSi 
hiérarchique je-Ra-'RSik 
hiérarchiquement je-Ra-RSi-k@-'ma~ 
hiérarchiques je-Ra-'RSik 
hiérarchisé je-Ra-RSi-'ze 
hiérarchisant je-Ra-RSi-'za~ 
hiérarchisation je-Ra-RSi-za-'sjo~ 
hiérarchise je-Ra-'RSiz 
hiérarchisée je-Ra-RSi-'ze 
hiérarchisent je-Ra-'RSiz 
hiérarchiser je-Ra-RSi-'ze 
hiérarchisées je-Ra-RSi-'ze 
hiérarchisés je-Ra-RSi-'ze 
hiératique je-Ra-'tik 
hiératiques je-Ra-'tik 
hiératisme je-Ra-ti-'sm@ 
hiéroglyphe je-R0g-'lif 
hiéroglyphes je-R0g-'lif 
hirohito i-Ro-i-'to 
hirondelle i-Ro~-'dEl 
hirondelles i-Ro~-'dEl 
hiroshima i-Ro-Si-'ma 
hirsute i-'Rsyt 
hirsutes i-'Rsyt 
hispanique is-pa-'nik 
hispaniques is-pa-'nik 
hispanisant is-pa-ni-'za~ 
hispanisants is-pa-ni-'za~ 
hispaniser is-pa-ni-'ze 
hispanité is-pa-ni-'te 
hispanite is-pa-'nit 
hissé i-'se 
hissa i-'sa 
hissaient i-'sE 
hissait i-'sE 
hissant i-'sa~ 
hisse 'is 
hissée i-'se 
hissee i-'si 
hissees i-'si 
hissene i-s@-'ne 
hissent 'is 
hisser i-'se 
hissera i-s@-'Ra 
hisserait i-s@-'RE 
hisses 'is 
hissées i-'se 
hissène i-'sEn 
hissons i-'so~ 
hissés i-'se 
histoire is-'twaR 
histoires is-'twaR 
histologie is-t0-l0-'Zi 
historia is-t0R-'ja 
historien is-t0R-'je~ 
historienne is-t0R-'jEn 
historiennes is-t0R-'jEn 
historiens is-t0R-'je~ 
historiette is-t0R-'jEt 
historiettes is-t0R-'jEt 
historiographie is-t0R-j0g-Ra-'fi 
historiographies is-t0R-j0g-Ra-'fi 
historiographique is-t0R-j0g-Ra-'fik 
historiographiques is-t0R-j0g-Ra-'fik 
historique is-t0-'Rik 
historiquement is-t0-Ri-k@-'ma~ 
historiques is-t0-'Rik 
histrion is-tRi-'jo~ 
histrions is-tRi-'jo~ 
hit 'it 
hitchcockien i-tk0k-'je~ 
hitchcockienne i-tk0k-'jEn 
hitchcockiennes i-tk0k-'jEn 
hitler i-'tlER 
hitlerien i-tl@-'Rje~ 
hitlerienne i-tl@-'RjEn 
hitleriennes i-tl@-'RjEn 
hitleriens i-tl@-'Rje~ 
hitlerisme i-tl@-Ri-'sm@ 
hitlérien i-tle-'Rje~ 
hitlérienne i-tle-'RjEn 
hitlériennes i-tle-'RjEn 
hitlériens i-tle-'Rje~ 
hitlérisme i-tle-Ri-'sm@ 
hit-parade i-tpa-'Rad 
hit-parades i-tpa-'Rad 
hittite i-'tit 
hittites i-'tit 
hiver i-'vER 
hivernal i-vE-'Rnal 
hivernale i-vE-'Rnal 
hivernales i-vE-'Rnal 
hivernaux i-vE-'Rno 
hivernent i-vE-'Rn@ 
hiverner i-vE-'Rne 
hivers i-'vER 
hl 'l 
hâlé a-'le 
héla e-'la 
hélas e-'las 
hâle 'al 
hâlée a-'le 
héler e-'le 
hâlées a-'le 
hélice e-'lis 
hélices e-'lis 
hélicoïdal e-li-k0-i-'dal 
hélicoïdale e-li-k0-i-'dal 
hélicoïdales e-li-k0-i-'dal 
hélicon e-li-'ko~ 
hélicoptère e-li-k0p-'tER 
hélicoptères e-li-k0p-'tER 
héliographique e-lj0g-Ra-'fik 
héliogravure e-lj0g-Ra-'vyR 
héliomarin e-lj0-ma-'Re~ 
hélion e-'ljo~ 
héliport e-li-'p0R 
héliporté e-li-p0R-'te 
héliportée e-li-p0R-'te 
héliportées e-li-p0R-'te 
héliports e-li-'p0R 
héliportés e-li-p0R-'te 
hélium e-'lj0m 
hlm a-SE-'lEm 
héléna e-le-'na 
hélène e-'lEn 
hâlés a-'le 
hm 'm 
hématologie e-ma-t0-l0-'Zi 
hématome e-ma-'tom 
hématomes e-ma-'tom 
hémicycle e-mi-si-'kl@ 
hémicycles e-mi-si-'kl@ 
hémicyle e-mi-'sil 
hémiplégie e-mi-ple-'Zi 
hémiplégique e-mi-ple-'Zik 
hémisphère e-mi-'sfER 
hémisphères e-mi-'sfER 
hémisphérique e-mi-sfe-'Rik 
hémistiche e-mis-'tiS 
hémodialyse e-m0d-ja-'liz 
hémoglobine e-m0g-l0-'bin 
hémophile e-m0-'fil 
hémophiles e-m0-'fil 
hémophilie e-m0-fi-'li 
hémorragie e-m0-Ra-'Zi 
hémorragies e-m0-Ra-'Zi 
hémorroïdes e-m0-R0-'id 
ho 'o 
hobbies 0-'bi 
hobby 0-'bi 
hobereau 0-b@-'Ro 
hobereaux 0-b@-'Ro 
hoché 0-'Se 
hochait 0-'SE 
hochant 0-'Sa~ 
hoche '0S 
hochement 0-S@-'ma~ 
hochements 0-S@-'ma~ 
hochent '0S 
hochepot 0-S@-'po 
hocher 0-'Se 
hochet 0-'SE 
hochets 0-'SE 
hocine o-'sin 
hockey 0-'kE 
hockeyeur 0-kE-'j9R 
hockeyeurs 0-kE-'j9R 
hoeffel 9-'fEl 
hoffman 0f-'man 
hoffmann 0f-'man 
holà 0-'la 
hola 0-'la 
hold '0ld 
holding 0l-'ding 
holdings 0l-'ding 
hold-up 0l-'d9p 
hollandais 0-la~-'dE 
hollandaise 0-la~-'dEz 
hollandaises 0-la~-'dEz 
hollande 0-'la~d 
hollywood o-li-'wud 
hollywoodien 0-li-wu-'dje~ 
hollywoodienne 0-li-wu-'djEn 
hollywoodiennes 0-li-wu-'djEn 
hollywoodiens 0-li-wu-'dje~ 
holocauste 0-l0-kos-'t@ 
holocaustes 0-l0-kos-'t@ 
homard 0-'maR 
homards 0-'maR 
home '0m 
homelie 0-m@-'li 
homelies 0-m@-'li 
homeopathe 0-m0-'pat 
homeopathes 0-m0-'pat 
homeopathie 0-m0-pa-'ti 
homeopathique 0-m0-pa-'tik 
homeopathiques 0-m0-pa-'tik 
homerique 0-m@-'Rik 
homeriques 0-m@-'Rik 
homes '0m 
homicide 0-mi-'sid 
homicides 0-mi-'sid 
hominisation 0-mi-ni-za-'sjo~ 
homélie 0-me-'li 
homélies 0-me-'li 
hommage 0-'maZ 
hommages 0-'maZ 
homme '0m 
homme-orchestre 0-m0R-kEs-'tR@ 
hommes '0m 
homme-sandwich 0-m@-sa~-'dwiS 
hommes-grenouilles 0m-gR@-'nuj 
hommes-orchestres 0-m@-z0R-kEs-'tR@ 
hommes-sandwichs 0m-sa~-'dwiS 
homo 0-'mo 
homogene 0-m0-'Z@n 
homogeneisation 0-m0-Z@-nE-za-'sjo~ 
homogeneise 0-m0-Z@-'nEz 
homogeneisee 0-m0-Z@-nE-'zi 
homogeneisees 0-m0-Z@-nE-'zi 
homogeneiser 0-m0-Z@-nE-'ze 
homogeneises 0-m0-Z@-'nEz 
homogeneite 0-m0-Z@-'nEt 
homogenes 0-m0-'Z@n 
homogène 0-m0-'ZEn 
homogènes 0-m0-'ZEn 
homogénéisé 0-m0-Ze-ne-i-'ze 
homogénéisation 0-m0-Ze-ne-i-za-'sjo~ 
homogénéise 0-m0-Ze-ne-'iz 
homogénéisée 0-m0-Ze-ne-i-'ze 
homogénéiser 0-m0-Ze-ne-i-'ze 
homogénéisées 0-m0-Ze-ne-i-'ze 
homogénéisés 0-m0-Ze-ne-i-'ze 
homogénéité 0-m0-Ze-ne-i-'te 
homologation 0-m0-l0-ga-'sjo~ 
homologations 0-m0-l0-ga-'sjo~ 
homologué 0-m0-l0-'ge 
homologue 0-m0-'l0g 
homologuée 0-m0-l0-'ge 
homologuee 0-m0-l0-'gi 
homologuees 0-m0-l0-'gi 
homologuer 0-m0-l0-'ge 
homologues 0-m0-'l0g 
homologuées 0-m0-l0-'ge 
homologués 0-m0-l0-'ge 
homonyme 0-m0-'nim 
homonymes 0-m0-'nim 
homonymie 0-m0-ni-'mi 
homonymies 0-m0-ni-'mi 
homéopathe 0-me-0-'pat 
homéopathes 0-me-0-'pat 
homéopathie 0-me-0-pa-'ti 
homéopathique 0-me-0-pa-'tik 
homéopathiques 0-me-0-pa-'tik 
homos 0-'mo 
homosexualité 0-m0-sE-ksy-a-li-'te 
homosexualite 0-m0-sE-ksy-a-'lit 
homosexualites 0-m0-sE-ksy-a-'lit 
homosexualités 0-m0-sE-ksy-a-li-'te 
homosexuel 0-m0-sE-'ksHEl 
homosexuelle 0-m0-sE-'ksHEl 
homosexuelles 0-m0-sE-'ksHEl 
homosexuels 0-m0-sE-'ksHEl 
homérique 0-me-'Rik 
homériques 0-me-'Rik 
honduras o~-dy-'Ras 
hondurien o~-dy-'Rje~ 
hondurien o~-dy-'Rje~ 
hondurienne o~-dy-'RjEn 
honduriennes o~-dy-'RjEn 
honduriens o~-dy-'Rje~ 
honduriens o~-dy-'Rje~ 
honecker o-nE-'kER 
hong '0ng 
hongkong o~-'gko~g 
hong-kong 0n-'gk0ng 
hongre o~-'gR@ 
hongrie o~-'gRi 
hongrois o~-'gRwa 
hongrois o~-'gRwa 
hongroise o~-'gRwaz 
hongroise o~-'gRwaz 
hongroises o~-'gRwaz 
honnete 0-'n@t 
honnetement 0-n@-t@-'ma~ 
honnetes 0-'n@t 
honnetete 0-n@-'t@t 
honneur 0-'n9R 
honneurs 0-'n9R 
honni 0-'ni 
honnie 0-'ni 
honnies 0-'ni 
honnir 0-'niR 
honnis 0-'ni 
honnissait 0-ni-'sE 
honnissent 0-'nis 
honnit 0-'ni 
honnête 0-'nEt 
honnêtement 0-nE-t@-'ma~ 
honnêtes 0-'nEt 
honnêteté 0-nE-t@-'te 
honolulu 0-n0-ly-'ly 
honoré 0-n0-'Re 
honoré 0-n0-'Re 
honora 0-n0-'Ra 
honorabilité 0-n0-Ra-bi-li-'te 
honorabilite 0-n0-Ra-bi-'lit 
honorable 0-n0-Ra-'bl@ 
honorablement 0-n0-Ra-bl@-'ma~ 
honorables 0-n0-Ra-'bl@ 
honoraient 0-n0-'RE 
honoraire 0-n0-'RER 
honoraires 0-n0-'RER 
honorait 0-n0-'RE 
honorant 0-n0-'Ra~ 
honore 0-'n0R 
honorée 0-n0-'Re 
honoree 0-n0-'Ri 
honorees 0-n0-'Ri 
honorent 0-'n0R 
honorer 0-n0-'Re 
honorera 0-n0-R@-'Ra 
honoreraient 0-n0-R@-'RE 
honorerait 0-n0-R@-'RE 
honoreras 0-n0-R@-'Ra 
honorerons 0-n0-R@-'Ro~ 
honoreront 0-n0-R@-'Ro~ 
honores 0-'n0R 
honorées 0-n0-'Re 
honorifique 0-n0-Ri-'fik 
honorifiques 0-n0-Ri-'fik 
honorine 0-n0-'Rin 
honorons 0-n0-'Ro~ 
honorés 0-n0-'Re 
éhonté e-o~-'te 
honte 'o~t 
éhontée e-o~-'te 
hontes 'o~t 
éhontées e-o~-'te 
honteuse o~-'t9z 
honteusement o~-t9-z@-'ma~ 
honteuses o~-'t9z 
honteux o~-'t@ 
éhontés e-o~-'te 
hooligan u-li-'ga~ 
hooliganisme u-li-ga-ni-'sm@ 
hooligans u-li-'ga~ 
hop '0p 
hopital 0-pi-'tal 
hopitaux 0-pi-'to 
hoplites 0p-'lit 
hoquet 0-'kE 
hoquetant 0-k@-'ta~ 
hoqueter 0-k@-'te 
hoquets 0-'kE 
hoquette 0-'kEt 
horaire 0-'RER 
horaires 0-'RER 
horde 0R-'d@ 
hordes 0R-'d@ 
horions 0R-'jo~ 
horizon 0-Ri-'zo~ 
horizons 0-Ri-'zo~ 
horizontal 0-Ri-zo~-'tal 
horizontale 0-Ri-zo~-'tal 
horizontalement 0-Ri-zo~-ta-l@-'ma~ 
horizontales 0-Ri-zo~-'tal 
horizontalité 0-Ri-zo~-ta-li-'te 
horizontalite 0-Ri-zo~-ta-'lit 
horizontaux 0-Ri-zo~-'to 
horloge 0R-'l0Z 
horloger 0R-l0-'Ze 
horlogere 0R-l0-'Z@R 
horlogeres 0R-l0-'Z@R 
horlogerie 0R-l0-Z@-'Ri 
horlogers 0R-l0-'Ze 
horloges 0R-'l0Z 
horlogère 0R-l0-'ZER 
horlogères 0R-l0-'ZER 
hormis 0R-'mi 
hormonal 0R-m0-'nal 
hormonale 0R-m0-'nal 
hormonales 0R-m0-'nal 
hormonaux 0R-m0-'no 
hormone 0R-'m0n 
hormones 0R-'m0n 
horn 0R-'n@ 
horodateur 0-R0-da-'t9R 
horodateurs 0-R0-da-'t9R 
horoscope 0-R0s-'k0p 
horoscopes 0-R0s-'k0p 
horreur 0-'R9R 
horreurs 0-'R9R 
horrible 0-Ri-'bl@ 
horriblement 0-Ri-bl@-'ma~ 
horribles 0-Ri-'bl@ 
horrifié 0-Ri-'fje 
horrifiant 0-Ri-'fja~ 
horrifie 0-Ri-'fi 
horrifiée 0-Ri-'fje 
horrifiee 0-Ri-'fji 
horrifiees 0-Ri-'fji 
horrifies 0-Ri-'fi 
horrifiées 0-Ri-'fje 
horrifique 0-Ri-'fik 
horrifiques 0-Ri-'fik 
horrifiés 0-Ri-'fje 
horripilé 0-Ri-pi-'le 
horripilant 0-Ri-pi-'la~ 
horripile 0-Ri-'pil 
horripilent 0-Ri-'pil 
horripiler 0-Ri-pi-'le 
hors '0R 
hors-bord 0R-'b0R 
hors-cote 0R-'k0t 
hors-d'oeuvre 0R-d9v-'R@ 
hors-jeu 0R-'Z@ 
hors-la-loi 0R-la-'lwa 
horst 0Rs-'t@ 
hors-texte 0R-tE-'kst@ 
hortensia 0R-ta~-'sja 
hortensias 0R-ta~-'sja 
horticole 0R-ti-'k0l 
horticoles 0R-ti-'k0l 
horticulture 0R-ti-kyl-'tyR 
hortillonnages 0R-ti-j0-'naZ 
hosanna 0-za-'na 
hosni o-'sni 
hospice 0s-'pis 
hospices 0s-'pis 
hospital 0s-pi-'tal 
hospitalier 0s-pi-ta-'lje 
hospitaliere 0s-pi-ta-'liR 
hospitalieres 0s-pi-ta-'liR 
hospitaliers 0s-pi-ta-'lje 
hospitalière 0s-pi-ta-'ljER 
hospitalières 0s-pi-ta-'ljER 
hospitalisé 0s-pi-ta-li-'ze 
hospitalisation 0s-pi-ta-li-za-'sjo~ 
hospitalisations 0s-pi-ta-li-za-'sjo~ 
hospitalise 0s-pi-ta-'liz 
hospitalisée 0s-pi-ta-li-'ze 
hospitalisee 0s-pi-ta-li-'zi 
hospitalisees 0s-pi-ta-li-'zi 
hospitaliser 0s-pi-ta-li-'ze 
hospitalises 0s-pi-ta-'liz 
hospitalisées 0s-pi-ta-li-'ze 
hospitalisés 0s-pi-ta-li-'ze 
hospitalité 0s-pi-ta-li-'te 
hospitalite 0s-pi-ta-'lit 
hoss '0s 
hossein 0-sa-'in 
hostellerie 0s-tE-l@-'Ri 
hostie 0s-'ti 
hosties 0s-'ti 
hostile 0s-'til 
hostiles 0s-'til 
hostilité 0s-ti-li-'te 
hostilite 0s-ti-'lit 
hostilites 0s-ti-'lit 
hostilités 0s-ti-li-'te 
hot '0t 
hot-dog 0t-'d0g 
hot-dogs 0t-'d0g 
hote '0t 
hotel 0-'tEl 
hotelier 0-t@-'lje 
hoteliere 0-t@-'liR 
hotelieres 0-t@-'liR 
hoteliers 0-t@-'lje 
hotellerie 0-tE-l@-'Ri 
hotelleries 0-tE-l@-'Ri 
hotels 0-'tEl 
hotes '0t 
hotesse 0-'tEs 
hotesses 0-'tEs 
hotte '0t 
hottes '0t 
hou 'u 
houblon u-'blo~ 
houe 'u 
houes 'u 
houille 'uj 
houiller u-'je 
houillere u-'j@R 
houilleres u-'j@R 
houillers u-'je 
houilles 'uj 
houillère u-'jER 
houillères u-'jER 
houle 'ul 
houles 'ul 
houlette u-'lEt 
houleuse u-'l9z 
houleuses u-'l9z 
houleux u-'l@ 
houphouet u-'fwE 
houphouët u-fu-'Et 
houphouët-boigny u-fu-E-bwa-'nji 
houppe 'up 
houppelande u-p@-'la~d 
houppelandes u-p@-'la~d 
houri u-'Ri 
houris u-'Ri 
hourra u-'Ra 
hourras u-'Ra 
hourvari u-Rva-'Ri 
house a-'us 
houspillé us-pi-'je 
houspillait us-pi-'jE 
houspillant us-pi-'ja~ 
houspille us-'pij 
houspiller us-pi-'je 
housse 'us 
housses 'us 
houston jus-'t0n 
houx 'u 
hovercraft 0-v9R-'kRaft 
howard o-waR-'d@ 
howe '0w 
hépatique e-pa-'tik 
hépatiques e-pa-'tik 
hépatite e-pa-'tit 
hépatites e-pa-'tit 
hôpital o-pi-'tal 
hôpitaux o-pi-'to 
héraldique e-Ral-'dik 
hérault e-'Ro 
héraut e-'Ro 
hérauts e-'Ro 
hérédité e-Re-di-'te 
héréditaire e-Re-di-'tER 
héréditaires e-Re-di-'tER 
hérédités e-Re-di-'te 
hère 'ER 
hères 'ER 
hérissé e-Ri-'se 
hérissant e-Ri-'sa~ 
hérisse e-'Ris 
hérissée e-Ri-'se 
hérissent e-'Ris 
hérisser e-Ri-'se 
hérissées e-Ri-'se 
hérisson e-Ri-'so~ 
hérissons e-Ri-'so~ 
hérissés e-Ri-'se 
hérité e-Ri-'te 
hérita e-Ri-'ta 
héritage e-Ri-'taZ 
héritages e-Ri-'taZ 
héritaient e-Ri-'tE 
héritait e-Ri-'tE 
héritant e-Ri-'ta~ 
hérite e-'Rit 
héritée e-Ri-'te 
héritent e-'Rit 
hériter e-Ri-'te 
héritera e-Ri-t@-'Ra 
hériterait e-Ri-t@-'RE 
hériteront e-Ri-t@-'Ro~ 
héritées e-Ri-'te 
héritier e-Ri-'tje 
héritiers e-Ri-'tje 
héritière e-Ri-'tjER 
héritières e-Ri-'tjER 
héritons e-Ri-'to~ 
héritèrent e-Ri-'tER 
hérités e-Ri-'te 
héroï-comique e-R0j-k0-'mik 
héron e-'Ro~ 
héroïne e-R0-'in 
héroïnes e-R0-'in 
hérons e-'Ro~ 
héroïque e-R0-'ik 
héroïquement e-R0-i-k@-'ma~ 
héroïques e-R0-'ik 
héros e-'Ro 
héroïsme e-R0-i-'sm@ 
hérout e-'Ru 
hérésiarque e-Re-zjaR-'k@ 
hérésie e-Re-'zi 
hérésies e-Re-'zi 
hérétique e-Re-'tik 
hérétiques e-Re-'tik 
hésité e-zi-'te 
hésita e-zi-'ta 
hésitaient e-zi-'tE 
hésitais e-zi-'tE 
hésitait e-zi-'tE 
hésitant e-zi-'ta~ 
hésitante e-zi-'ta~t 
hésitantes e-zi-'ta~t 
hésitants e-zi-'ta~ 
hésitation e-zi-ta-'sjo~ 
hésitations e-zi-ta-'sjo~ 
hésite e-'zit 
hésitent e-'zit 
hésiter e-zi-'te 
hésitera e-zi-t@-'Ra 
hésiterai e-zi-t@-'RE 
hésiteraient e-zi-t@-'RE 
hésiterais e-zi-t@-'RE 
hésiterait e-zi-t@-'RE 
hésiterez e-zi-t@-'Re 
hésiterions e-zi-t@-'Rjo~ 
hésiterons e-zi-t@-'Ro~ 
hésiteront e-zi-t@-'Ro~ 
hésitez e-zi-'te 
hésitons e-zi-'to~ 
hésitèrent e-zi-'tER 
hâté a-'te 
hâta a-'ta 
hâtaient a-'tE 
hâtait a-'tE 
hâtant a-'ta~ 
hâte 'at 
hâtée a-'te 
hôtel o-'tEl 
hôtel-dieu o-tEl-'dj@ 
hôtelier o-t@-'lje 
hôteliers o-t@-'lje 
hôtelière o-t@-'ljER 
hôtelières o-t@-'ljER 
hôtellerie o-tE-l@-'Ri 
hôtelleries o-tE-l@-'Ri 
hôtels o-'tEl 
hâtent 'at 
hâter a-'te 
hâtera a-t@-'Ra 
hâterait a-t@-'RE 
hâteront a-t@-'Ro~ 
hâtes 'at 
hôtesse o-'tEs 
hôtesses o-'tEs 
hâtif a-'tif 
hâtifs a-'tif 
hâtive a-'tiv 
hâtivement a-ti-v@-'ma~ 
hâtives a-'tiv 
hâtons a-'to~ 
hêtre E-'tR@ 
hâtèrent a-'tER 
hêtres E-'tR@ 
hétéroclite e-te-R0k-'lit 
hétéroclites e-te-R0k-'lit 
hétérodoxe e-te-R0-d0k-'s@ 
hétérodoxes e-te-R0-d0k-'s@ 
hétérogène e-te-R0-'ZEn 
hétérogènes e-te-R0-'ZEn 
hétérogénéité e-te-R0-Ze-ne-i-'te 
hétérogénéités e-te-R0-Ze-ne-i-'te 
hétéronyme e-te-R0-'nim 
hétéronymes e-te-R0-'nim 
hétérosexuel e-te-R0-zE-'ksHEl 
hétérosexuelle e-te-R0-zE-'ksHEl 
hétérosexuelles e-te-R0-zE-'ksHEl 
hétérosexuels e-te-R0-zE-'ksHEl 
hétérozygote e-te-R0-zi-'g0t 
hétérozygotes e-te-R0-zi-'g0t 
hâtés a-'te 
hué y-'e 
hu 'y 
hua y-'a 
huai y-'E 
huaient y-'E 
huant y-'a~ 
huard y-'aR 
huart y-'aR 
hubert y-'bER 
hublot y-'blo 
hublots y-'blo 
huchet y-'SE 
huchez y-'Se 
hue 'y 
huée y-'e 
huee 'Hi 
huees 'Hi 
huer 'He 
hues 'y 
huées y-'e 
huet 'HE 
huez 'He 
hugo y-'go 
huguenot y-'gno 
huguenote y-'gn0t 
huguenots y-'gno 
hugues 'yg 
huguette y-'gEt 
huilé Hi-'le 
huila Hi-'la 
huile 'Hil 
huilée Hi-'le 
huilee Hi-'li 
huilees Hi-'li 
huiler Hi-'le 
huilerie Hi-l@-'Ri 
huileries Hi-l@-'Ri 
huiles 'Hil 
huilées Hi-'le 
huileuse Hi-'l9z 
huileuses Hi-'l9z 
huileux Hi-'l@ 
huilier Hi-'lje 
huilés Hi-'le 
huis 'Hi 
huisseries Hi-s@-'Ri 
huissier Hi-'sje 
huissiers Hi-'sje 
huit 'Hit 
huitaine Hi-'tEn 
huitieme Hi-'sim 
huitiemes Hi-'sim 
huitième Hi-'tjEm 
huitièmes Hi-'tjEm 
huitre Hi-'tR@ 
huitres Hi-'tR@ 
hulotte y-'l0t 
hum '9m 
humé y-'me 
huma y-'ma 
humain y-'me~ 
humaine y-'mEn 
humainement y-mE-n@-'ma~ 
humaines y-'mEn 
humains y-'me~ 
humait y-'mE 
humanisation y-ma-ni-za-'sjo~ 
humanisme y-ma-ni-'sm@ 
humaniste y-ma-nis-'t@ 
humanistes y-ma-nis-'t@ 
humanité y-ma-ni-'te 
humanitaire y-ma-ni-'tER 
humanitaires y-ma-ni-'tER 
humanite y-ma-'nit 
humanites y-ma-'nit 
humanités y-ma-ni-'te 
humant y-'ma~ 
humbert ym-bER-'t@ 
humble 9~-'bl@ 
humblement 9~-bl@-'ma~ 
humbles 9~-'bl@ 
hume 'ym 
humecté y-mE-'kte 
humecte y-mE-'kt@ 
humecter y-mE-'kte 
hument 'ym 
humer y-'me 
humeur y-'m9R 
humeurs y-'m9R 
humide y-'mid 
humides y-'mid 
humidité y-mi-di-'te 
humidite y-mi-'dit 
humilié y-mi-'lje 
humiliait y-mi-'ljE 
humiliant y-mi-'lja~ 
humiliante y-mi-'lja~t 
humiliantes y-mi-'lja~t 
humiliants y-mi-'lja~ 
humiliation y-mi-lja-'sjo~ 
humiliations y-mi-lja-'sjo~ 
humilie y-mi-'li 
humiliée y-mi-'lje 
humiliee y-mi-'lji 
humiliees y-mi-'lji 
humilient y-mi-'li 
humilier y-mi-'lje 
humilies y-mi-'li 
humiliées y-mi-'lje 
humiliés y-mi-'lje 
humilité y-mi-li-'te 
humilite y-mi-'lit 
humoriste y-m0-Ris-'t@ 
humoristes y-m0-Ris-'t@ 
humoristique y-m0-Ris-'tik 
humoristiques y-m0-Ris-'tik 
humour y-'muR 
humus y-'mys 
hun '9~ 
hun '9~ 
hune 'yn 
huns '9~ 
huns '9~ 
huppé y-'pe 
huppe 'yp 
huppée y-'pe 
huppee y-'pi 
huppees y-'pi 
huppes 'yp 
huppées y-'pe 
huppés y-'pe 
hurd 'yR 
hure 'yR 
hures 'yR 
hurlé y-'Rle 
hurla y-'Rla 
hurlaient y-'RlE 
hurlais y-'RlE 
hurlait y-'RlE 
hurlant y-'Rla~ 
hurlante y-'Rla~t 
hurlantes y-'Rla~t 
hurlants y-'Rla~ 
hurle y-'Rl@ 
hurlée y-'Rle 
hurlee y-'Rli 
hurlees y-'Rli 
hurlement y-Rl@-'ma~ 
hurlements y-Rl@-'ma~ 
hurlent y-'Rl@ 
hurler y-'Rle 
hurlerent y-Rl@-'Ra~ 
hurleront y-Rl@-'Ro~ 
hurles y-'Rl@ 
hurlées y-'Rle 
hurlèrent y-'RlER 
hurlés y-'Rle 
hurluberlu y-Rly-bE-'Rly 
hurluberlus y-Rly-bE-'Rly 
huron y-'Ro~ 
huron y-'Ro~ 
hurons y-'Ro~ 
hurrah u-'Ra 
hués y-'e 
hussard y-'saR 
hussarde y-saR-'d@ 
hussards y-'saR 
hussein y-'sen 
husseini y-se-'ni 
husson y-'s0n 
huston jus-'t0n 
huître y-i-'tR@ 
huîtres y-i-'tR@ 
hutte 'yt 
huttes 'yt 
hutu y-'ty 
hutus y-'tys 
hévéa e-ve-'a 
hévéas e-ve-'a 
hâve 'av 
hâves 'av 
hyacinthe ja-'se~t 
hybridation i-bRi-da-'sjo~ 
hybridations i-bRi-da-'sjo~ 
hybride i-'bRid 
hybrides i-'bRid 
hydraulicien i-dRo-li-'sje~ 
hydrauliciens i-dRo-li-'sje~ 
hydraulique i-dRo-'lik 
hydrauliques i-dRo-'lik 
hydravion i-dRa-'vjo~ 
hydravions i-dRa-'vjo~ 
hydre i-'dR@ 
hydres i-'dR@ 
hydrique i-'dRik 
hydriques i-'dRik 
hydrocarbure i-dR0-kaR-'byR 
hydrocarbures i-dR0-kaR-'byR 
hydrodynamique i-dR0-di-na-'mik 
hydroelectrique i-dRe-lE-'ktRik 
hydroelectriques i-dRe-lE-'ktRik 
hydrogene i-dR0-'Z@n 
hydroglisseur i-dR0g-li-'s9R 
hydroglisseurs i-dR0g-li-'s9R 
hydrogène i-dR0-'ZEn 
hydrographique i-dR0g-Ra-'fik 
hydro-électrique i-dRo-e-lE-'ktRik 
hydroélectrique i-dR0-e-lE-'ktRik 
hydro-électriques i-dRo-e-lE-'ktRik 
hydroélectriques i-dR0-e-lE-'ktRik 
hydrologie i-dR0-l0-'Zi 
hydrologique i-dR0-l0-'Zik 
hydromel i-dR0-'mEl 
hydrotherapie i-dR0-t@-Ra-'pi 
hydrothérapie i-dR0-te-Ra-'pi 
hyene 'jn 
hyenes 'jn 
hyeres j-'Rz@ 
hygiaphone i-Zja-'f0n 
hygiene i-'Zin 
hygienique i-Zi-'nik 
hygieniques i-Zi-'nik 
hygieniste i-Zi-nis-'t@ 
hygienistes i-Zi-nis-'t@ 
hygiène i-'ZjEn 
hygiénique i-Zje-'nik 
hygiéniques i-Zje-'nik 
hygiéniste i-Zje-nis-'t@ 
hygiénistes i-Zje-nis-'t@ 
hygrometrie i-gR0-m@-'tRi 
hygrométrie i-gR0-me-'tRi 
hymen i-'mEn 
hymne 'imn 
hymnes 'imn 
hyène 'jEn 
hyènes 'jEn 
hyper- i-'pe 
hyperbole i-pER-'b0l 
hyperboles i-pER-'b0l 
hyperbolique i-pER-b0-'lik 
hyperboliques i-pER-b0-'lik 
hyperboreens i-pER-b0-'Rin 
hyperboréens i-pER-b0-Re-'e~ 
hyperinflation i-p@-Re~-fla-'sjo~ 
hypermarché i-pE-Rma-'RSe 
hypermarche i-pE-Rma-'RS@ 
hypermarches i-pE-Rma-'RS@ 
hypermarchés i-pE-Rma-'RSe 
hyperréalisme i-pE-Re-a-li-'sm@ 
hyperrealisme i-pE-Ra-li-'sm@ 
hypersensibilité i-pE-Rsa~-si-bi-li-'te 
hypersensibilite i-pE-Rsa~-si-bi-'lit 
